timestamp,minutes_elapsed,cam_id,model,operator,setup,environment,distance_m,signal_dbm,battery_pct,battery_health,temperature_c,link_state,bitrate_mbps,dropped_frames,latency_ms,transmitting,recording_local
2026-08-29T07:00:00,0.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-54.1,99.9,0.95,25.9,OK,49.1,0,35,True,True
2026-08-29T07:00:00,0.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-57.1,99.9,0.92,25.8,OK,48.2,0,35,True,True
2026-08-29T07:00:00,0.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-67.6,100.0,0.61,25.4,DEGRADED,22.2,15,316,True,True
2026-08-29T07:00:00,0.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-60.1,100.0,0.88,26.4,OK,45.5,0,36,True,True
2026-08-29T07:00:00,0.0,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-69.4,99.9,0.79,26.3,DEGRADED,18.3,74,390,True,True
2026-08-29T07:00:30,0.5,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-52.5,99.3,0.95,23.9,OK,47.1,0,35,True,True
2026-08-29T07:00:30,0.5,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-56.3,99.4,0.92,26.7,OK,46.5,0,35,True,True
2026-08-29T07:00:30,0.5,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-68.8,100.0,0.61,26.5,DEGRADED,20.4,8,207,True,True
2026-08-29T07:00:30,0.5,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-61.5,99.6,0.88,25.6,OK,43.9,3,119,True,True
2026-08-29T07:00:30,0.5,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-73.1,99.4,0.79,26.6,CRITICAL,8.2,19,365,True,True
2026-08-29T07:01:00,1.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-50.6,99.7,0.95,24.9,OK,47.2,0,35,True,True
2026-08-29T07:01:00,1.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-57.7,99.9,0.92,25.7,OK,49.1,0,35,True,True
2026-08-29T07:01:00,1.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-67.7,99.4,0.61,25.6,DEGRADED,22.1,65,263,True,True
2026-08-29T07:01:00,1.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-60.3,100.0,0.88,25.4,OK,46.6,1,51,True,True
2026-08-29T07:01:00,1.0,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-72.6,99.9,0.79,27.0,CRITICAL,7.7,10,118,True,True
2026-08-29T07:01:30,1.5,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-51.4,100.0,0.95,26.2,OK,46.5,0,35,True,True
2026-08-29T07:01:30,1.5,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-55.1,99.6,0.92,27.6,OK,47.5,0,35,True,True
2026-08-29T07:01:30,1.5,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-70.2,99.0,0.61,25.9,DEGRADED,17.5,10,324,True,True
2026-08-29T07:01:30,1.5,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-65.4,99.9,0.88,26.4,DEGRADED,29.9,25,110,True,True
2026-08-29T07:01:30,1.5,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-67.5,99.2,0.79,25.7,DEGRADED,26.0,42,129,True,True
2026-08-29T07:02:00,2.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-53.6,99.0,0.95,26.2,OK,46.2,0,35,True,True
2026-08-29T07:02:00,2.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-52.8,99.6,0.92,27.1,OK,46.0,0,35,True,True
2026-08-29T07:02:00,2.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-65.2,98.6,0.61,26.8,OK,32.2,3,277,True,True
2026-08-29T07:02:00,2.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-60.0,99.3,0.88,25.0,OK,48.3,0,35,True,True
2026-08-29T07:02:00,2.0,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-72.7,99.6,0.79,24.7,CRITICAL,6.8,23,307,True,True
2026-08-29T07:02:30,2.5,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-50.6,99.4,0.95,25.1,OK,48.7,0,35,True,True
2026-08-29T07:02:30,2.5,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-59.3,99.9,0.92,26.1,OK,49.0,0,35,True,True
2026-08-29T07:02:30,2.5,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-68.4,100.0,0.61,26.2,DEGRADED,20.7,18,383,True,True
2026-08-29T07:02:30,2.5,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-59.9,99.6,0.88,27.0,OK,47.2,0,35,True,True
2026-08-29T07:02:30,2.5,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-70.8,99.1,0.79,26.7,DEGRADED,14.4,42,360,True,True
2026-08-29T07:03:00,3.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-54.2,98.7,0.95,26.4,OK,47.9,0,35,True,True
2026-08-29T07:03:00,3.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-56.7,99.1,0.92,26.3,OK,49.5,0,35,True,True
2026-08-29T07:03:00,3.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-69.0,99.8,0.61,24.5,DEGRADED,20.2,46,96,True,True
2026-08-29T07:03:00,3.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-56.0,99.2,0.88,27.8,OK,47.3,0,35,True,True
2026-08-29T07:03:00,3.0,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-72.9,99.2,0.79,25.8,CRITICAL,7.0,45,798,True,True
2026-08-29T07:03:30,3.5,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-54.2,99.9,0.95,25.2,OK,48.4,0,35,True,True
2026-08-29T07:03:30,3.5,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-61.1,98.9,0.92,26.4,OK,45.5,9,75,True,True
2026-08-29T07:03:30,3.5,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-72.5,98.6,0.61,27.0,CRITICAL,8.7,58,681,True,True
2026-08-29T07:03:30,3.5,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-57.1,100.0,0.88,26.4,OK,48.5,0,35,True,True
2026-08-29T07:03:30,3.5,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-71.2,99.2,0.79,26.5,DEGRADED,11.4,62,468,True,True
2026-08-29T07:04:00,4.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-56.3,99.3,0.95,24.2,OK,47.5,0,35,True,True
2026-08-29T07:04:00,4.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-57.6,99.4,0.92,25.7,OK,46.9,0,35,True,True
2026-08-29T07:04:00,4.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-66.8,98.8,0.61,28.7,DEGRADED,26.2,4,143,True,True
2026-08-29T07:04:00,4.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-60.6,99.9,0.88,27.2,OK,44.0,2,42,True,True
2026-08-29T07:04:00,4.0,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-69.6,98.3,0.79,24.2,DEGRADED,14.4,58,77,True,True
2026-08-29T07:04:30,4.5,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-53.0,98.7,0.95,25.0,OK,45.0,0,35,True,True
2026-08-29T07:04:30,4.5,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-55.6,99.2,0.92,25.8,OK,50.0,0,35,True,True
2026-08-29T07:04:30,4.5,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-70.2,98.1,0.61,24.3,DEGRADED,15.6,80,128,True,True
2026-08-29T07:04:30,4.5,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-61.7,99.0,0.88,27.4,OK,42.6,10,66,True,True
2026-08-29T07:04:30,4.5,CAM-05,Blackmagic,Jorge,Location A - Ancestral House (Interior),interior,95.0,-71.5,98.2,0.79,25.9,DEGRADED,11.3,8,649,True,True
2026-08-29T07:05:00,5.0,CAM-01,Sony FX6,Ariel,Location A - Ancestral House (Interior),interior,18.0,-51.5,98.6,0.95,26.5,OK,46.3,0,35,True,True
2026-08-29T07:05:00,5.0,CAM-02,Sony FX6,Marlon,Location A - Ancestral House (Interior),interior,32.0,-59.5,99.6,0.92,26.5,OK,45.1,0,35,True,True
2026-08-29T07:05:00,5.0,CAM-03,Sony FX3,Kiko,Location A - Ancestral House (Interior),interior,68.0,-69.0,98.4,0.61,26.3,DEGRADED,16.1,34,383,True,True
2026-08-29T07:05:00,5.0,CAM-04,Sony FX3,Dennis,Location A - Ancestral House (Interior),interior,45.0,-57.3,99.5,0.88,27.4,OK,44.9,0,35,True,True
